User,AllocNodes,AllocCPUS,Elapsed,
,1,1,00:00:00,
oakif,1,1,00:00:02,
,1,1,00:00:02,
oakif,1,1,00:00:02,
,1,1,00:00:02,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:02,
,1,1,00:00:02,
oakif,1,1,00:00:02,
,1,1,00:00:02,
oakif,1,1,00:00:02,
,1,1,00:00:02,
oakif,1,1,00:00:03,
,1,1,00:00:03,
oakif,1,1,00:00:03,
,1,1,00:00:03,
oakif,1,1,00:00:02,
,1,1,00:00:02,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:02,
,1,1,00:00:02,
oakif,1,1,00:00:02,
,1,1,00:00:02,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:02:02,
,1,1,00:02:02,
oakif,1,1,00:01:11,
,1,1,00:01:11,
oakif,1,1,00:01:52,
,1,1,00:01:52,
oakif,2,2,00:00:34,
,1,1,00:00:34,
oakif,1,1,00:00:36,
,1,1,00:00:36,
oakif,1,1,00:00:16,
,1,1,00:00:19,
oakif,1,1,00:00:34,
,1,1,00:00:34,
oakif,1,8,00:00:23,
,1,8,00:00:23,
oakif,1,8,00:00:49,
,1,8,00:00:49,
oakif,0,64,00:00:00,
oakif,1,32,00:00:30,
,1,32,00:00:31,
oakif,1,1,00:00:47,
,1,1,00:00:47,
oakif,1,1,00:00:34,
,1,1,00:00:34,
oakif,1,1,00:00:56,
,1,1,00:00:56,
oakif,1,1,00:01:57,
,1,1,00:01:57,
oakif,1,1,00:00:42,
,1,1,00:00:42,
oakif,1,1,00:02:26,
,1,1,00:02:26,
oakif,0,1,00:00:00,
oakif,1,1,00:00:40,
,1,1,00:00:40,
oakif,1,1,00:03:03,
,1,1,00:03:03,
oakif,1,1,00:00:30,
,1,1,00:00:30,
oakif,1,1,00:02:01,
,1,1,00:02:01,
oakif,1,1,00:01:08,
,1,1,00:01:08,
oakif,1,1,00:01:32,
,1,1,00:01:32,
oakif,1,1,00:01:00,
,1,1,00:01:00,
oakif,1,1,00:01:12,
,1,1,00:01:12,
oakif,1,1,00:00:52,
,1,1,00:00:52,
oakif,1,1,00:00:29,
,1,1,00:00:29,
oakif,1,1,00:01:03,
,1,1,00:01:03,
oakif,1,1,00:00:53,
,1,1,00:00:53,
oakif,1,1,00:00:45,
,1,1,00:00:45,
oakif,1,1,00:00:45,
,1,1,00:00:45,
oakif,1,1,00:00:44,
,1,1,00:00:44,
oakif,1,1,00:00:43,
,1,1,00:00:43,
oakif,1,1,00:00:46,
,1,1,00:00:46,
oakif,1,1,00:00:44,
,1,1,00:00:44,
oakif,1,1,00:00:45,
,1,1,00:00:45,
oakif,1,1,00:00:45,
,1,1,00:00:45,
oakif,1,1,00:00:45,
,1,1,00:00:45,
oakif,1,1,00:00:43,
,1,1,00:00:43,
oakif,1,1,00:00:50,
,1,1,00:00:50,
oakif,1,1,00:00:44,
,1,1,00:00:44,
oakif,1,1,00:00:45,
,1,1,00:00:45,
oakif,1,1,00:00:45,
,1,1,00:00:45,
oakif,1,1,00:00:46,
,1,1,00:00:46,
oakif,1,1,00:00:44,
,1,1,00:00:44,
oakif,1,1,00:00:47,
,1,1,00:00:47,
oakif,1,1,00:00:46,
,1,1,00:00:46,
oakif,1,1,00:00:42,
,1,1,00:00:42,
oakif,1,1,00:00:44,
,1,1,00:00:44,
oakif,1,1,00:00:44,
,1,1,00:00:44,
oakif,1,1,00:00:52,
,1,1,00:00:52,
oakif,1,1,00:00:42,
,1,1,00:00:42,
oakif,1,1,00:00:44,
,1,1,00:00:44,
oakif,1,1,00:00:43,
,1,1,00:00:43,
oakif,1,1,00:00:43,
,1,1,00:00:43,
oakif,1,1,00:00:44,
,1,1,00:00:44,
oakif,1,1,00:00:43,
,1,1,00:00:43,
oakif,1,1,00:00:30,
,1,1,00:00:31,
oakif,1,1,00:00:26,
,1,1,00:00:27,
oakif,1,1,00:00:19,
,1,1,00:00:20,
oakif,1,1,00:00:41,
,1,1,00:00:41,
oakif,1,1,00:00:44,
,1,1,00:00:44,
oakif,1,1,00:00:43,
,1,1,00:00:43,
oakif,1,1,00:02:16,
,1,1,00:02:16,
oakif,1,1,00:00:45,
,1,1,00:00:45,
oakif,1,1,00:00:44,
,1,1,00:00:44,
oakif,1,1,00:00:42,
,1,1,00:00:42,
oakif,1,1,00:00:43,
,1,1,00:00:43,
oakif,1,1,00:04:00,
,1,1,00:04:00,
oakif,1,1,00:03:27,
,1,1,00:03:27,
oakif,1,1,00:03:21,
,1,1,00:03:21,
oakif,1,1,00:01:24,
,1,1,00:01:24,
oakif,1,1,00:02:44,
,1,1,00:02:44,
oakif,1,1,00:00:59,
,1,1,00:00:59,
oakif,1,1,00:02:00,
,1,1,00:02:00,
oakif,1,1,00:00:21,
,1,1,00:00:21,
oakif,1,1,00:00:51,
,1,1,00:00:51,
oakif,1,1,00:00:30,
,1,1,00:00:30,
oakif,1,1,00:00:46,
,1,1,00:00:46,
oakif,1,1,00:00:39,
,1,1,00:00:39,
oakif,1,1,00:00:38,
,1,1,00:00:38,
oakif,1,1,00:00:40,
,1,1,00:00:40,
oakif,1,1,00:00:41,
,1,1,00:00:41,
oakif,1,1,00:00:40,
,1,1,00:00:40,
oakif,1,1,00:00:40,
,1,1,00:00:40,
oakif,1,1,00:00:40,
,1,1,00:00:40,
oakif,1,1,00:00:41,
,1,1,00:00:41,
oakif,1,1,00:00:41,
,1,1,00:00:41,
oakif,1,1,00:00:40,
,1,1,00:00:40,
oakif,1,1,00:00:46,
